Date,Lake,TAG.NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site.Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On Time (s),Water Temp (C),Secchi (cm),Weather,Year
4/4/2019,N Twin ,16256,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16548,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14868,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16593,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11443,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15009,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14449,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16465,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15277,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14823,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14835,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14481,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15025,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11488,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15364,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11184,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,12936,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16600,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14223,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15363,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15290,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16664,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,12991,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,21877,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16049,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,21882,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5949,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5502,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6416,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
