Lake,Envelope #,Species,TL mm,Weight g,Spine MAS,Otolith MAS,Spine PVG,Otolith PVG,Spine TFF,Otolith TFF,Spine DRF,Otolith DRF
Blue,65,COC,308,410,,,,,10,,,
Blue,66,COC,356,560,,4,9,,,,,
Blue,67,COC,372,670,4,,,,,3,,
Blue,68,COC,386,725,5,3,11,,4,3,,
Blue,69,COC,368,640,3,3,9,,4,16,,
Blue,70,COC,272,275,2,,"
",,,2,,
Blue,71,COC,340,550,4,3,10,,2,3,,
Blue,72,COC,368,625,4,4,10,,4,10,,
Blue,73,COC,358,610,,3,9,,3,,,
Blue,74,COC,272,285,2,,12,,,3,,
Blue,75,COC,348,550,3,3,7,,4,4,,
Blue,76,COC,258,245,,,,,,,,
Blue,77,COC,464,1415,8,7,12,,10,7,,
Blue,78,COC,540,1620,7,7,11,,10,16,,
Blue,79,COC,490,1300,6,7,8,,21,23,,
Blue,80,COC,488,1280,6,5,9,,7,13,,
Blue,81,COC,414,785,3,3,7,,4,9,,
Blue,82,COC,336,445,3,3,8,,3,3,,
Blue,83,COC,348,510,4,4,8,,3,8,,
Blue,84,COC,380,705,5,4,14,,4,11,,
Blue,85,COC,344,520,4,3,12,,3,4,,
Blue,86,COC,456,1145,5,5,11,,6,17,,
Blue,87,COC,424,960,4,4,11,,3,3,,
Blue,88,COC,386,765,,4,9,,5,,,
Blue,89,COC,378,670,5,5,8,,7,4,,
Blue,90,COC,370,645,4,4,10,,3,3,,
Blue,91,COC,332,480,4,,,,,12,,
Blue,92,COC,336,535,4,4,14,,2,9,,
Blue,93,COC,352,495,4,4,7,,3,3,,
Blue,94,COC,350,555,4,4,6,,3,29,,
Blue,95,COC,366,600,5,5,8,,5,4,,
Blue,96,COC,272,275,1,,,,,2,,
Blue,97,COC,312,430,3,,,,,8,,
Blue,98,COC,344,575,4,3,8,,2,7,,
Blue,99,COC,330,480,3,3,6,,3,11,,
Blue,100,COC,354,555,3,4,9,,4,5,,
Blue,101,COC,328,450,2,,,,,5,,
Blue,102,COC,318,450,2,,,,,4,,
Center,1,BIB,538,2874,7,,8,,7,,,
Center,2,BIB,669,5189,11,,7,,12,,,
Center,3,BIB,580,3519,9,,15,,9,,,
Center,4,BIB,520,2356,8,,5,,5,,,
Center,5,BIB,404,953,6,,7,,7,,,
Center,6,BIB,492,2138,7,,8,,7,,,
Center,7,BIB,493,2048,6,,7,,12,,,
Center,8,BIB,528,2592,5,,6,,5,,,
Center,9,BIB,531,2815,7,,12,,11,,,
Center,10,BIB,593,4127,7,,10,,6,,,
Center,11,BIB,428,1367,4,,7,,5,,,
Center,12,BIB,504,1993,5,,,,11,,,
Center,13,BIB,442,1512,4,,10,,4,,,
Center,14,BIB,413,1230,4,,11,,7,,,
Center,15,BIB,520,2433,6,,10,,12,,,
Center,16,BIB,538,2919,7,,8,,8,,,
