Date,Lake,Run,On-Time (s),EnvTag,Species,TL mm,Weight g
5/30/2018,Blue,3,2132,8816,COC,406,
5/30/2018,Blue,3,2132,8817,COC,366,
5/30/2018,Blue,3,2132,8818,COC,382,
5/30/2018,Blue,3,2132,8819,COC,608,
5/30/2018,Blue,3,2132,8820,COC,570,
5/30/2018,Blue,3,2132,8821,COC,394,
5/30/2018,Blue,3,2132,8822,COC,526,
5/30/2018,Blue,3,2132,8823,COC,466,
5/30/2018,Blue,3,2132,8824,COC,430,
5/30/2018,Blue,3,2132,8825,COC,380,
5/30/2018,Blue,3,2132,8826,COC,490,
5/30/2018,Blue,3,2132,8827,COC,398,
5/30/2018,Blue,3,2132,8828,COC,400,
5/30/2018,Blue,3,2132,8829,COC,380,
5/30/2018,Blue,3,2132,8830,COC,538,
5/30/2018,Blue,3,2132,8831,COC,556,
5/30/2018,Blue,3,2132,8832,COC,402,
5/30/2018,Blue,3,2132,8833,COC,542,
5/30/2018,Blue,3,2132,8834,COC,408,
5/30/2018,Blue,3,2132,8835,COC,540,
5/30/2018,Blue,3,2132,8836,COC,500,
5/30/2018,Blue,3,2132,10225,COC,524,
5/30/2018,Blue,4,1468,8837,COC,410,
5/30/2018,Blue,4,1468,8838,COC,376,
5/30/2018,Blue,4,1468,8839,COC,376,
5/30/2018,Blue,4,1468,8840,COC,384,
5/30/2018,Blue,4,1468,8841,COC,404,
5/30/2018,Blue,4,1468,8842,COC,454,
5/30/2018,Blue,4,1468,8843,COC,380,
5/30/2018,Blue,4,1468,8844,COC,384,
5/30/2018,Blue,4,1468,8845,COC,392,
5/30/2018,Blue,4,1468,8846,COC,440,
5/30/2018,Blue,4,1468,8847,COC,388,
5/30/2018,Blue,4,1468,8848,COC,460,
5/30/2018,Blue,4,1468,8849,COC,420,
5/30/2018,Blue,4,1468,8850,COC,526,
5/30/2018,Blue,4,1468,8851,COC,372,
5/30/2018,Blue,4,1468,8852,COC,358,
5/30/2018,Blue,4,1468,8853,COC,410,
5/30/2018,Blue,4,1468,8854,COC,388,
5/30/2018,Blue,4,1468,8855,COC,544,
5/30/2018,Blue,4,1468,8856,COC,410,
5/30/2018,Blue,4,1468,8857,COC,354,
5/30/2018,Blue,4,1468,8858,COC,444,
5/30/2018,Blue,4,1468,8859,COC,402,
5/30/2018,Blue,4,1468,8860,COC,372,
5/30/2018,Blue,4,1468,8861,COC,382,
5/30/2018,Blue,4,1468,8862,COC,418,
5/30/2018,Blue,4,1468,8863,COC,394,
5/30/2018,Blue,4,1468,8864,COC,380,
5/30/2018,Blue,4,1468,8865,COC,386,
5/30/2018,Blue,4,1468,8866,COC,466,
5/30/2018,Blue,4,1468,8867,COC,414,
5/30/2018,Blue,4,1468,8868,COC,400,
5/30/2018,Blue,4,1468,8869,COC,370,
5/30/2018,Blue,4,1468,8870,COC,350,
5/30/2018,Blue,4,1468,8871,COC,444,
5/30/2018,Blue,4,1468,8872,COC,384,
5/30/2018,Blue,4,1468,8873,COC,312,
5/30/2018,Blue,4,1468,8874,COC,414,
5/30/2018,Blue,4,1468,8875,COC,368,
5/30/2018,Blue,4,1468,8876,COC,464,
5/30/2018,Blue,4,1468,8877,COC,382,
5/30/2018,Blue,4,1468,8878,COC,370,
5/30/2018,Blue,4,1468,8879,COC,376,
5/30/2018,Blue,4,1468,8880,COC,384,
5/30/2018,Blue,4,1468,8881,COC,406,
5/30/2018,Blue,4,1468,8882,COC,452,
5/30/2018,Blue,4,1468,8883,COC,354,
5/30/2018,Blue,4,1468,8884,COC,356,
5/30/2018,Blue,4,1468,8885,COC,358,
5/30/2018,Blue,4,1468,8886,COC,374,
5/30/2018,Blue,4,1468,8887,COC,370,
5/30/2018,Blue,4,1468,8888,COC,364,
5/30/2018,Blue,4,1468,8889,COC,422,
5/30/2018,Blue,4,1468,8890,COC,366,
5/30/2018,Blue,4,1468,8891,COC,604,
5/30/2018,Blue,4,1468,8892,COC,392,
5/30/2018,Blue,4,1468,8893,COC,410,
5/30/2018,Blue,4,1468,8894,COC,452,
5/30/2018,Blue,4,1468,8895,COC,388,
5/30/2018,Blue,4,1468,8896,COC,394,
5/30/2018,Blue,4,1468,8897,COC,424,
5/30/2018,Blue,4,1468,9104,COC,398,
5/30/2018,Blue,4,1468,10225,COC,520,
5/30/2018,Blue,4,1468,17613,COC,366,
5/30/2018,Blue,4,1468,18921,COC,334,
5/31/2018,Blue,1,2625,8594,COC,396,
5/31/2018,Blue,1,2625,8898,COC,338,
5/31/2018,Blue,1,2625,8899,COC,394,
5/31/2018,Blue,1,2625,8900,COC,366,
5/31/2018,Blue,1,2625,8901,COC,384,
5/31/2018,Blue,1,2625,8901,COC,414,
5/31/2018,Blue,1,2625,8902,COC,382,
5/31/2018,Blue,1,2625,8902,COC,392,
5/31/2018,Blue,1,2625,8903,COC,342,
5/31/2018,Blue,1,2625,8903,COC,370,
5/31/2018,Blue,1,2625,8904,COC,366,
5/31/2018,Blue,1,2625,8904,COC,372,
5/31/2018,Blue,1,2625,8905,COC,354,
5/31/2018,Blue,1,2625,8905,COC,360,
5/31/2018,Blue,1,2625,8906,COC,378,
5/31/2018,Blue,1,2625,8906,COC,380,
5/31/2018,Blue,1,2625,8907,COC,350,
5/31/2018,Blue,1,2625,8907,COC,532,
5/31/2018,Blue,1,2625,8908,COC,394,
5/31/2018,Blue,1,2625,8908,COC,396,
5/31/2018,Blue,1,2625,8909,COC,360,
