Lake,Month,Date,Year,Buffalo,Drum,Carp,Total Rough Fish
Five Island Lake,March,3/24/2000,2000,500,50,2000,2550
Five Island Lake,March,3/29/2000,2000,1300,50,1800,3150
Five Island Lake,March,3/30/2000,2000,2550,100,1300,3950
Five Island Lake,April,Apr-00,2000,200,30,2000,2230
Five Island Lake,April,4/13/2000,2000,5200,200,5000,10400
Five Island Lake,April,4/14/2000,2000,50,0,100,150
Five Island Lake,April,4/17/2000,2000,500,50,2400,2950
Five Island Lake,May,5/25/2000,2000,11800,50,17050,28900
Five Island Lake,September,9/8/2000,2000,12200,0,450,12650
Five Island Lake,September,9/11/2000,2000,4550,0,0,4550
Five Island Lake,October,10/11/2000,2000,4700,0,1450,6150
Five Island Lake,October,10/18/2000,2000,250,0,300,550
Five Island Lake,October,10/19/2000,2000,1150,0,850,2000
Five Island Lake,October,10/20/2000,2000,8550,0,1600,10150
Five Island Lake,October,10/25/2000,2000,1600,0,2900,4500
Five Island Lake,October,10/26/2000,2000,1400,0,300,1700
Five Island Lake,October,10/27/2000,2000,21000,0,600,21600
Five Island Lake,May,5/1/2001,2001,5400,0,2200,7600
Five Island Lake,May,5/2/2001,2001,2200,0,900,3100
Five Island Lake,May,5/3/2001,2001,5900,0,700,6600
Five Island Lake,May,5/8/2001,2001,2700,0,200,2900
Five Island Lake,May,5/9/2001,2001,4700,0,600,5300
Five Island Lake,may,5/11/2001,2001,5200,0,300,5500
Five Island Lake,may,5/14/2001,2001,2050,0,200,2250
Five Island Lake,may,5/23/2001,2001,3650,0,450,4100
Five Island Lake,may,5/29/2001,2001,2100,0,400,2500
Five Island Lake,September,9/25/2001,2001,11200,0,1450,12650
Five Island Lake,September,9/27/2001,2001,500,0,1600,2100
Five Island Lake,October,10/1/2001,2001,6100,0,1100,7200
Five Island Lake,October,10/2/2001,2001,1500,0,200,1700
Five Island Lake,October,10/4/2001,2001,400,0,100,500
Five Island Lake,October,10/11/2001,2001,3100,0,800,3900
Five Island Lake,October,10/16/2001,2001,300,0,200,500
Five Island Lake,May,5/10/2002,2002,940,0,200,1140
Five Island Lake,may,5/20/2002,2002,900,0,400,1300
Five Island Lake,October,10/1/2002,2002,2650,0,1300,3950
Five Island Lake,October,10/7/2002,2002,950,0,12100,13050
Five Island Lake,October,10/8/2002,2002,550,0,4300,4850
Five Island Lake,april,4/29/2003,2003,13402,0,15300,28702
Five Island Lake,april,4/30/2003,2003,5000,0,5000,10000
Five Island Lake,september,9/10/2003,2003,810,0,150,960
Five Island Lake,september,9/15/2003,2003,100,0,1500,1600
