Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather
8/7/2018,Blue,21591,COC,375,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21592,COC,392,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21593,COC,405,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21594,COC,394,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21595,COC,273,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21596,COC,364,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,17020,COC,382,,1,,L Pelvic,2018 Recap,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21597,COC,425,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21598,COC,412,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21599,COC,365,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21600,COC,368,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21654,COC,382,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
