Lake,#,Species,TL.mm,Weight.g,OtolithMAS1,SpineMAS1,OtolithMAS2,SpineMAS2,OtolithPVG1,SpinePVG1
N Twin,97,COC,259,305,3,3,1,1,10,8
N Twin,98,COC,361,680,3,11,3,3,11,22
N Twin,99,COC,295,455,1,2,1,1,5,14
N Twin,100,COC,277,340,1,,1,,5,
N Twin,101,COC,478,1490,7,7,5,4,8,10
N Twin,102,COC,478,1470,8,8,6,5,8,8
N Twin,103,COC,635,3595,8,8,6,7,7,16
N Twin,104,COC,561,2560,7,8,6,6,11,13
N Twin,105,COC,533,2360,9,7,5,5,6,5
N Twin,106,COC,511,1875,8,10,6,8,9,9
N Twin,107,COC,559,2353,10,10,8,9,9,8
N Twin,108,COC,467,1490,7,8,5,6,8,7
N Twin,109,COC,493,1625,7,4,6,7,7,8
N Twin,110,COC,488,1560,5,6,6,8,10,9
N Twin,111,COC,432,1245,10,8,9,7,7,6
N Twin,112,COC,401,760,6,6,5,5,5,6
N Twin,113,BIB,686,5220,16,11,14,11,6,6
N Twin,114,BIB,683,4490,13,10,13,14,5,5
N Twin,115,BIB,640,3780,24,19,26,18,12,10
N Twin,116,BIB,653,4050,14,15,17,18,10,10
N Twin,117,BIB,627,3745,20,17,19,16,9,7
N Twin,118,BIB,594,3190,14,15,15,15,8,7
N Twin,119,BIB,671,3915,8,16,17,17,10,12
N Twin,120,BIB,632,4025,10,11,20,18,8,6
N Twin,121,BIB,655,4400,16,17,18,17,8,8
N Twin,122,BIB,597,3110,10,10,13,12,8,7
N Twin,123,BIB,693,4635,11,11,12,13,9,7
N Twin,124,BIB,663,4295,17,15,16,12,10,8
N Twin,125,BIB,610,3375,10,10,13,13,7,6
N Twin,126,BIB,686,5210,14,14,15,14,8,7
N Twin,127,BIB,602,3300,8,9,14,11,7,6
N Twin,128,BIB,648,3625,14,13,14,13,7,7
N Twin,129,BIB,602,2950,15,15,15,14,6,7
N Twin,130,BIB,648,4300,18,16,17,15,8,16
N Twin,131,BIB,630,3375,17,17,16,16,18,9
N Twin,132,BIB,648,3995,20,14,18,13,8,7
N Twin,133,BIB,645,3815,21,17,15,14,7,7
N Twin,134,BIB,617,3655,14,14,14,12,8,7
N Twin,135,BIB,744,6215,25,17,26,14,7,8
N Twin,136,BIB,630,3345,19,19,19,17,10,5
N Twin,137,BIB,615,3415,11,10,17,13,4,7
N Twin,138,BIB,592,2860,13,13,11,12,6,9
N Twin,139,BIB,643,3715,17,16,19,16,9,5
N Twin,140,BIB,439,1315,7,6,6,6,6,10
N Twin,141,BIB,587,2775,17,18,16,15,10,7
N Twin,142,BIB,612,3585,16,16,19,15,6,8
N Twin,143,BIB,605,3070,13,14,15,15,9,8
N Twin,144,BIB,640,3570,6,8,6,7,7,11
N Twin,145,BIB,612,3145,24,16,23,13,12,6
N Twin,146,BIB,610,2985,13,13,13,12,8,8
N Twin,147,BIB,592,3335,16,15,15,15,9,6
N Twin,148,BIB,602,3165,13,15,13,16,7,12
N Twin,149,BIB,638,3665,16,18,14,13,10,7
N Twin,150,BIB,572,3005,9,9,12,11,6,7
N Twin,151,BIB,622,3685,26,18,25,16,16,11
N Twin,152,BIB,671,4055,11,13,15,14,9,7
N Twin,153,BIB,643,3295,12,14,8,9,7,8
N Twin,154,BIB,630,4070,15,13,16,13,9,11
N Twin,155,BIB,592,3245,19,14,17,15,12,12
N Twin,156,BIB,683,4650,18,17,18,13,14,8
N Twin,157,BIB,584,2820,17,15,16,14,10,8
N Twin,158,BIB,564,3155,16,11,12,11,6,7
N Twin,159,BIB,566,2990,16,15,13,13,10,9
N Twin,160,BIB,597,3270,23,22,22,14,7,9
N Twin,161,COC,775,7810,28,24,26,24,6,15
N Twin,162,COC,536,2135,,,,,,
N Twin,163,COC,511,1690,7,8,7,7,9,8
N Twin,164,COC,470,1445,6,7,6,6,7,6
N Twin,165,COC,452,1215,9,9,7,7,8,8
N Twin,166,COC,323,555,1,,1,,6,
N Twin,167,COC,470,1250,12,12,9,7,8,8
N Twin,168,COC,561,2285,8,8,7,6,12,12
N Twin,169,COC,699,5095,26,19,25,20,26,21
N Twin,170,COC,381,60,3,4,3,4,8,8
N Twin,171,COC,561,2350,8,10,6,9,9,9
N Twin,172,COC,523,1865,7,9,5,6,12,10
N Twin,173,COC,330,680,1,,1,,4,
N Twin,174,COC,559,2165,8,9,7,8,7,8
N Twin,175,COC,378,780,3,2,2,2,8,6
N Twin,176,COC,551,2275,7,8,7,7,8,8
N Twin,177,COC,439,1145,8,9,5,7,8,8
N Twin,178,COC,488,1147,7,10,7,8,7,8
N Twin,179,COC,516,1930,10,11,6,8,10,9
N Twin,180,COC,478,1355,7,7,3,4,9,4
N Twin,181,COC,244,245,1,1,1,1,4,
N Twin,182,COC,257,310,2,,,,,
N Twin,183,COC,295,465,5,5,1,1,8,6
N Twin,184,COC,373,690,4,5,4,4,7,7
N Twin,185,COC,330,615,1,5,1,1,7,7
N Twin,186,COC,384,785,3,4,3,4,10,10
N Twin,187,COC,668,3985,8,8,8,8,16,16
N Twin,188,COC,465,1350,6,7,5,8,7,9
N Twin,189,COC,546,2250,7,7,6,6,16,12
N Twin,190,COC,592,3060,16,12,15,10,20,16
N Twin,191,COC,406,915,8,9,5,4,7,8
N Twin,192,COC,462,1395,7,9,5,6,5,6
N Twin,193,COC,688,5115,19,16,17,14,14,14
N Twin,194,COC,424,885,9,10,7,7,7,6
N Twin,195,COC,460,1450,8,8,7,6,7,8
N Twin,196,COC,518,1650,7,8,6,6,6,6
N Twin,197,COC,561,2465,6,6,6,6,8,7
N Twin,198,COC,584,3040,5,6,4,8,8,7
N Twin,199,COC,584,2715,15,14,15,12,9,9
N Twin,200,COC,597,2970,9,10,6,7,5,7
N Twin,201,COC,625,2810,8,9,7,9,5,8
N Twin,202,COC,549,2315,5,6,5,4,5,5
N Twin,203,COC,368,615,5,4,4,4,6,6
N Twin,204,COC,399,715,3,4,5,5,7,7
N Twin,205,COC,508,1750,7,8,6,8,7,7
N Twin,206,COC,533,1825,8,8,7,7,8,8
N Twin,207,COC,445,1045,6,6,6,6,8,7
