facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer
6,22670002,Blue Lake,2007-09-11T13:00:00-05:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,27,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,7631-86-9,Silica,Dissolved,,21,mg/l,True,1,,,370.1,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-05-02T14:10:00-05:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,400,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-05-02T14:10:00-05:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,8.7,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-05-02T14:10:00-05:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,2.3,m,True,,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-05-02T14:10:00-05:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.55,m,True,0.01,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-05-02T14:10:00-05:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,14.9,deg C,True,0,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-05-02T14:10:00-05:00,AMBLAKE-SHL,PH,pH,Total,,8.2,None,True,,,,4500-H,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-05-02T14:10:00-05:00,AMBLAKE-SHL,TURB,Turbidity,Total,,30.2,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-09-27T14:30:00-05:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,9.6,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-09-27T14:30:00-05:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,1.9,m,True,,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-09-27T14:30:00-05:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.3,m,True,0.01,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-09-27T14:30:00-05:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,17.1,deg C,True,0,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-09-27T14:30:00-05:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,300,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2006-09-27T14:30:00-05:00,AMBLAKE-SHL,PH,pH,Total,,8.6,None,True,,,,4500-H,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,9.2,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,2.1,m,True,,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,1.2,m,True,0.01,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,16.4,deg C,True,0,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,403,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,PH,pH,Total,,8.3,None,True,,,,4500-H,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,6,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,5,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen,Total,,0.8,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-04-24T13:40:00-05:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.05,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,11.9,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,2.5,m,True,,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.8,m,True,0.1,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,28.6,deg C,True,0,,,Unknown,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,371,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,PH,pH,Total,,8.6,None,True,,,,4500-H,,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,8,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,9,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.01,mg/l,False,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,7440-44-0,Organic carbon,Total,,8,mg/l,True,0.5,,,5310-B,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen,Total,,1.2,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2007-07-10T15:15:00-05:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,51,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
