Year,Sample ID,Project,LakeNumber,Lake Name,DOY,DOYFrac,Depth,Chl_ugL,Phyco_ugL,TSS_mgL,VSS_mgL,ISS_mgL,TP_ugL,SRP_ugL,Nitrate_mgL,TN_mgL,Secchi_m,Ratio
2019,P1910519101E,Carp,105,Silver,191,2019.523288,Epi,2.25,0,,,,126.65,69.88,2.28,2.58,1.095,72.12
2019,P1910519101H,Carp,105,Silver,191,2019.523288,Hypo,,,0,0,0,124.63,67.44,,,,
2019,A19105203004,ALM,105,Silver,203,2019.556164,Epi,11.12,44.82,13,9,4,150.15,50.85,0.97,2.08,0.58,42.17
2019,P1910520501E,Carp,105,Silver,205,2019.561644,Epi,13.76,64.46,1,1,0,452.91,27.73,0.97,4.07,0.915,77.33
2019,P1910520501H,Carp,105,Silver,205,2019.561644,Hypo,,,5,5,0,178.05,139.25,,,,
2019,P1910521901E,Carp,105,Silver,219,2019.6,Epi,5.81,125.63,9,9,0,161.63,107.77,0.11,1.23,0.91,2.26
2019,P1910521901H,Carp,105,Silver,219,2019.6,Hypo,,,17,13,4,214.48,89.67,,,,
2019,A19105247005,ALM,105,Silver,247,2019.676712,Epi,17.25,30.21,64,26,38,289.55,5.8,0.02,2.4,0.83,7.62
2019,A19113140001,ALM,113,Storm,140,2019.383562,Epi,0.6,29.38,19,0,19,67.05,26.2,0.13,0.8,1.05,10.97
2019,P1911314901E,Carp,113,Storm,149,2019.408219,Epi,3.12,7.11,5,2,3,76.61,28.04,0.56,2.34,0.895,44.15
2019,P1911314901H,Carp,113,Storm,149,2019.408219,Hypo,,,0,0,0,93.05,28.14,,,,
2019,P1911316201E,Carp,113,Storm,162,2019.443836,Epi,2.73,12.47,18,7,11,81.8,16.61,0.96,1.28,0.975,127.76
2019,P1911316201H,Carp,113,Storm,162,2019.443836,Hypo,,,34.5,4,30.5,105.2,22.87,,,,
2019,P1911317701E,Carp,113,Storm,177,2019.484932,Epi,1.23,3.15,11,5,6,81.1,24.28,0.83,1.28,,75.57
2019,P1911317701H,Carp,113,Storm,177,2019.484932,Hypo,,,7,1,6,107.12,39.82,,,,
2019,A19113189005,ALM,113,Storm,189,2019.517808,Epi,5.76,17.75,18,12,6,45.3,5.8,0.02,1.06,0.85,7.62
2019,P1911319701E,Carp,113,Storm,197,2019.539726,Epi,9.97,77.29,15,10,5,97.85,11.58,0.33,1.19,0.625,63.00
2019,P1911319701H,Carp,113,Storm,197,2019.539726,Hypo,,,19,16,3,94.99,5.7,,,,
2019,P1911322501E,Carp,113,Storm,225,2019.616438,Epi,4.29,43.12,11,10,1,132.83,,0,1.23,0.565,
2019,P1911322501H,Carp,113,Storm,225,2019.616438,Hypo,,,22,10,12,183.84,,,,,
2019,A19113231010,ALM,113,Storm,231,2019.632877,Epi,2.3,17.94,9,<1.2,9,130.1,22.15,0.02,0.45,0.53,2.00
2019,P1940614801E,Carp,406,South Twin,148,2019.405479,Epi,26.16,51.55,61,31,30,236.06,7.4,0.16,1.71,0.275,47.80
2019,P1940614801H,Carp,406,South Twin,148,2019.405479,Hypo,,,55,23,32,244.91,34.38,,,,
2019,P1940617001E,Carp,406,South Twin,170,2019.465753,Epi,35.61,48.96,53,27,26,86.49,96.37,0.3,0,0.205,6.88
2019,P1940617001H,Carp,406,South Twin,170,2019.465753,Hypo,,,59,31,28,84.48,13.75,,,,
2019,P1940617601E,Carp,406,South Twin,176,2019.482192,Epi,29.97,35.36,56,25,31,197.19,8.37,0.14,1.54,0.175,36.97
2019,P1940617601H,Carp,406,South Twin,176,2019.482192,Hypo,,,48,23,25,188.91,17.21,,,,
2019,P1940619801E,Carp,406,South Twin,198,2019.542466,Epi,27.54,69.64,,,,230.19,5.59,0.22,2.17,,87.00
2019,P1940619801H,Carp,406,South Twin,198,2019.542466,Hypo,,,61,31,30,207.84,15.52,,,,
2019,P1940619801H,Carp,406,South Twin,198,2019.542466,Hypo,,,86,57,29,236.04,19.62,,,,
2019,P1940621201E,Carp,406,South Twin,212,2019.580822,Epi,19.45,81.19,75,42,33,209.36,17.53,0.19,1.86,0.11,23.96
2019,P1940622601E,Carp,406,South Twin,226,2019.619178,Epi,3.19,169.27,55,37,18,209.38,,0.02,2.08,0.65,
2019,P1940622601H,Carp,406,South Twin,226,2019.619178,Hypo,,,71,42,29,163.22,,,,,
